address,cap_amount
0x3B25c251b9D05E227e24B575861143cFad44F45a,0.9
0xd4a03ce230616680574f177095c07433e3a3b992,0.9
0x298f0B62871ee11F3FB25a353af717698EAca95A,0.9
0x564B97DF9E25D570312a8dDEb32f7027a52fC558,0.9
0x9a58FDe73E66b9f1979789f0AA3c71b2c6880fc3,0.9
0x41a6ac7f4e4DBfFEB934f95F1Db58B68C76Dc4dF,0.9
0x7d50bfeAD43d4FDD47a8A61f32305b2dE21068Bd,0.9
0x640EE436595A931Df1162b46E3BF4277b35F0A98,0.9
0xea012E3592125A8269Ab9698F3A9c10D85Bc57B3,0.9
0x11B0AB779e48FcdbfD538de4C62B034a44D2aE5e,0.9
0x4e44F3fab2BDdf206632f420EB3eCDB80123eea1,0.9
0x9945daF5dCd39C9A3556d27c16af343765e5630C,0.9
0x3058A0D5e8E1A7B15dbF13eb3d411ee3EFea70D9,0.8
0x53aA057146197cC2d1c8fAFABB81bCa0a2bF1bF1,0.8
0x0365566ef442e63ea7E6905AFDE6bB749c845fA6,0.7
0x6BC86b180859895E9D83A4BE6b6889a27DDfb80F,0.7
0xaE3E25Fc1546f2fcC0Eff08B85ad43E598745d02,0.7
0xd6B01c20918a7Ba5D05E81DC59DEd322962b4D37,0.7
0x4007af5c02ea3640bc008ed93d0df67de6e29ed7,0.7
0x979bcd46dba6369ae651e1d1978358920eadb938,0.7
0x352A45cC1AA286C643a9471A04435Dd88A027d88,0.7
0x4109266acaC7Bc28c754884920b059E016DDAf41,0.7
0xaa742ad22b89f7d9b7e14076e8fd2a744400d4e1,0.7
0xfe657a7D7bF97895f6EF3AE6A67E978Cd6cbAf4d,0.7
0x35e3a5f9a59a441f5b87416ed68eb99753e59171,0.7
0xCE4Db3c35c7f717D821E9e51fEFcC03328E01745,0.6
0xA0f62e380B71A4b9c3639aaBf10465C1d44B9ea8,0.6
0x4Fa758C72a4Aa977825DDf5b9196a6f29364661A,0.6
0xb701574911527A6b07DB4Bd675284599F4DBE058,0.6
0x81D53E7ff476eEA9E9a805709A88Ac3E3ee1FC9B,0.6
0x8c8b6b5f72c87a24bd6fc83f3512ebdc7d13cdef,0.6
0x1eD1C9C6F92dcef5c0E990d182A071c7D239a1b2,0.6
0x06C09442451a730De0fF7ceC24b197F33b41eA76,0.6
0x9DF886f12288c11a29f1F5229EC0E78B3Dd5F5cE,0.6
0x056E959c5EA899A18bD244544fE7eD4283799a22,0.6
0xdb72Db7E973E48cFF5223038c3d45c595BfB42f3,0.6
0x7fbF7133d58058f9A369Ca0852A627957C63DaB1,0.6
0xb644ebf63b35a81ed341ebeff5fde6d789d1f352,0.6
0x1e7Fa4e49f8e6aC15071E94DbF65E740a7859C69,0.6
0x602abFbBcF537714ba845681f842F868852589A0,0.6
0xB8E72728B3c9F4273483Bb7ADf9A94b4e07cdE49,0.6
0xAE2A771f4De5B6D422A8BFeF9dA156a99Fa0c22d,0.6
